index	text_a	text_b	predictions
0	The last conquistador then rides on with his sword drawn.	最后的征服者骑着他的剑继续前进.	0.9722586611047559
1	He shoves Owen into the pit where Digger rips out his son's heart.	他把欧文扔进了挖掘机挖出儿子心脏的坑里.	0.8825978789072572
2	Alpha Phi Alpha also participates in the March of Dimes' WalkAmerica and raised over $181,000 in 2006.	Alpha Phi Alpha 还参加了 Dimes 'WalkAmerica 的 3 月活动 ， 并在 2006 年筹集了 181 000 美元。	0.7910061143259957
3	In 1995, Deftones released their debut album Adrenaline.	1995 年 ， Deftones 发行了首张专辑《肾上腺素》。	1.073434112065318
4	Kyrgios also supports the North Melbourne Kangaroos Football Club in the Australian Football League.	基尔吉奥斯还在澳大利亚足球联盟中支持北墨尔本袋鼠足球俱乐部.	1.1754186242945226
5	The August 16 semifinals placed McFarlane in the second heat.	八月十六日的半决赛使麦克法兰处于第二位.	0.9701878902789487
6	However, after a few victories, the campaign falters.	但是 ， 在取得了几次胜利之后 ， 这场运动就失败了。	1.244255968619009
7	"They are untouched by modern craze for aggiornamento""."	"他们没有被现代对农业的迷恋所触动 ""."	1.091012936576072
8	Damiani, Matteo A tragic episode of cannibalism during the famine of the Great Leap Forward.	达米亚尼, 马特奥在大跃进饥荒中的惨剧.	0.9559106405432309
9	On 24 November 2010, Miles Kane revealed that Gallagher sang on a track from his debut solo album titled My Fantasy.	"2010 年 11 月 24 日 ， Miles Kane 透露 ， Gallagher 在他的首张题为 ""我的幻想"" 的独唱专辑的轨道上唱歌。"	0.7918658607916512
10	Jonah Wizard later traps them in a deserted island on the Nile.	乔纳 · 维扎德后来在尼罗河上的一个荒岛上捉住了他们.	1.004091722560088
11	The standard load for a Voyageur on a portage was two bundles, or 180 lb.	一个旅行者在港口的标准负载是两个捆绑, 即 180 磅.	0.7121715190409525
12	Returning to the gulch, he throws Schneider to the lion.	回到峡谷, 他把施奈德扔给了狮子.	0.9460992036069963
13	Boucher and Leighton became the first goalies since 1955 to share a playoff shutout.	布彻和莱顿成为 1955 年以来第一个分享季后赛的门将.	0.8293414304082657
14	Tapestries of the 6th century decorate the choir and represent the miracles of Saint Amans.	六世纪的唱诗班装饰了合唱团 ， 代表了圣阿曼的奇迹。	0.9459126288292486
15	The poet Robert Browning and his wife Elizabeth attended a séance on 23, July 1855 in Ealing with the Rymers.	1855 年 7 月 23 日 ， 诗人罗伯特 · 布朗宁和他的妻子伊丽莎白在《与运动员共进晚餐》中参加了一个圣职。	1.113989782115799
16	Simply titled Unplugged, the album debuted at number one on the U.S.	"这张专辑在美国名列第一 ， 简而言之标题是 ""未插上"" 。"	0.8791945533614821
17	His nudes celebrated the glamor and beauty of the female form.	他的裸体颂扬了女性的魅力和美丽.	1.0775931510457315
18	He can play the flute, the piano and the percussions.	他能演奏长笛、钢琴和打击乐器.	1.2883981156025957
19	The crusaders especially needed the Venetians' ships against the Egyptians.	十字军特别需要威尼斯人的船只来对付埃及人。	0.9858929791012521
20	Emeritus Professor of General Pathology and Physiopathology at the Faculty of Medicine, Central University of Venezuela.	委内瑞拉中央大学医学院普通病理学和生理病理学名誉教授。	1.2470142703536415
21	Windsor Magazine, December 1904 A Plot in the Duchy.	《温莎杂志》, 1904 年 12 月.	0.9159589136188842
22	I./KG 54 operated against the British beachheads with Butterfly Bombs and mined the Orne and Vire estuaries on 7/8 June 1944.	I. / KG 54 用蝴蝶炸弹攻击英国的海头 ， 并于 1944 年 6 月 7 日 / 8 日在奥恩和瓦雷河口埋设了地雷。	0.8175923544957893
23	Aaron and Robert share a kiss while a delighted Liv overhears.	亚伦和罗伯特分享了一个吻, 而一个愉快的利夫听到了.	0.8371884118099892
24	The Five Gatekeepers defeat Chaos by impaling him with their swords, forming a five pointed star.	五个守门员用刀子击打他, 击败了混乱, 形成了一个五角星.	0.684310541411573
25	Ash tampers with Justin's bike so he will not win.	用贾斯汀的自行车擦伤了他 ， 所以他不会赢的。	0.9020090731389182
26	The Riddler appears in Justice League Action, voiced by Brent Spiner.	里德勒出现在正义联盟行动中 ， 布伦特斯皮纳表达了这一观点。	1.0222100163441155
27	The pupa or chrysalis, unlike that of moths, is not wrapped in a cocoon.	木偶或菊花与苍蝇不同, 不被包裹在椰子里.	0.6614021636801937
